Date,Month,Year,costType,expenseType,itemVendor,Amount,createdAt,updatedAt,createdBy
30-Nov-23,Nov,2023,Food Cost,Toast Fees,"BUSINESS TO BUSINESS ACH Toast, Inc Toast, Inc ST-X8N1K6W6T8S3 TOAST INC",129.6,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
30-Nov-23,Nov,2023,Insurance,Apartment Insurance,LEMONADE I* LEMONADE I LEMONADE.COM NY,9.59,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
30-Nov-23,Nov,2023,Food Cost,Goat Meat,Pak Halal,449.5,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
30-Nov-23,Nov,2023,Food Cost,Goat Meat,Pak Halal,449.5,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
1-Dec-23,Dec,2023,Automobile,Van Gas,7-ELEVEN 33252 IRVINE CA,9.98,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
1-Dec-23,Dec,2023,Food Cost,Groceries,Restaurant Depot,936.36,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
1-Dec-23,Dec,2023,Sales Tax & CPA,Sales Tax,BUSINESS TO BUSINESS ACH CA DEPT TAX FEE CDTFA EPMT 240130 17869116 PRNG RESTO LLC,5000,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
3-Dec-23,Dec,2023,Marketing,Photo Frames,Staples,102.33,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
3-Dec-23,Dec,2023,Maintenance,Maintenance,Home Depot,40.91,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
4-Dec-23,Dec,2023,Maintenance,Gift,Temple,553.33,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
4-Dec-23,Dec,2023,Food Cost,Goat Meat,Pak Halal,899,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
4-Dec-23,Dec,2023,Food Cost,Containers,Apsic,371.5,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
5-Dec-23,Dec,2023,Automobile,Van Gas,7-ELEVEN 33252 IRVINE CA,14,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
5-Dec-23,Dec,2023,Maintenance,Security,Security Cameras,640.02,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
5-Dec-23,Dec,2023,Food Cost,Groceries,Restaurant Depot,267.06,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
5-Dec-23,Dec,2023,Food Cost,Groceries,Restaurant Depot,59.98,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
5-Dec-23,Dec,2023,Rent,Apartment Rent,Rent for Chef Apartment,3713.2,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
5-Dec-23,Dec,2023,Rent,Restaurant-Rent,Rent for Restaurant,8365.13,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
5-Dec-23,Dec,2023,Food Cost,Groceries,Whole Foods,7.78,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
5-Dec-23,Dec,2023,Food Cost,Groceries,Target,86.16,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
5-Dec-23,Dec,2023,Food Cost,Groceries,LA Produce,1041.44,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
6-Dec-23,Dec,2023,Food Cost,Groceries,Restaurant Depot,291.31,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
6-Dec-23,Dec,2023,Food Cost,Groceries,LA Produce,129.59,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
6-Dec-23,Dec,2023,Insurance,Restaurant-Insurance,Midvale Indemnity,694.97,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
6-Dec-23,Dec,2023,Maintenance,Maintenance,Amazon,25.81,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
6-Dec-23,Dec,2023,Food Cost,Chicken Meat,Bay Foods,377.05,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
7-Dec-23,Dec,2023,Food Cost,Containers,Apsic Inc,613.5,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
7-Dec-23,Dec,2023,Food Cost,Goat Meat,Pak Halal,449.5,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
8-Dec-23,Dec,2023,Food Cost,Groceries,Restaurant Depot,47.61,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
8-Dec-23,Dec,2023,Utilities,Utilities - Internet,COX,401.67,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
8-Dec-23,Dec,2023,Insurance,Restaurant-Insurance,Insurance (TOR),674.67,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
8-Dec-23,Dec,2023,Food Cost,Chicken Meat,Bay Foods,468.5,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
9-Dec-23,Dec,2023,Maintenance,Maintenance,Home Depot,123.3,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
9-Dec-23,Dec,2023,Marketing,Photo Frames,Staples,102.33,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
9-Dec-23,Dec,2023,Food Cost,Groceries,Whole Foods,3.09,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
9-Dec-23,Dec,2023,Automobile,Van Gas,7-ELEVEN 33252 IRVINE CA,27.56,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
10-Dec-23,Dec,2023,Food Cost,Groceries,NINAS INDIAN & BRITISH GRLAKE FOREST CA,52.68,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
10-Dec-23,Dec,2023,Food Cost,Groceries,Whole Foods,14.58,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
10-Dec-23,Dec,2023,Automobile,Van Gas,7-ELEVEN 33252 IRVINE CA,13.78,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
10-Dec-23,Dec,2023,Food Cost,Groceries,Costco,91.48,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
10-Dec-23,Dec,2023,Food Cost,Groceries,LA Produce,1131.18,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
11-Dec-23,Dec,2023,Utilities,Utilities-Gas,So Cal Gas,415.44,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
11-Dec-23,Dec,2023,Automobile,Van Gas,7-ELEVEN 33252 IRVINE CA,13.78,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
11-Dec-23,Dec,2023,Automobile,Van Gas,7-ELEVEN 33252 IRVINE CA,13.78,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
11-Dec-23,Dec,2023,Food Cost,Groceries,LA Produce,222.35,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
11-Dec-23,Dec,2023,Maintenance,Maintenance,Amazon,53.54,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
12-Dec-23,Dec,2023,Food Cost,Groceries,Whole Foods,5.68,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
12-Dec-23,Dec,2023,Maintenance,Equipment,Action Sales,1068.77,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
13-Dec-23,Dec,2023,Food Cost,Groceries,Mach Foods,819.36,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
13-Dec-23,Dec,2023,Automobile,Van Gas,CHEVRON 0306957 IRVINE CA,34.29,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
14-Dec-23,Dec,2023,Utilities,Utilities-Gas,So Cal Gas,436.64,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
14-Dec-23,Dec,2023,Food Cost,Chicken Meat,Bay Foods,491.6,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
14-Dec-23,Dec,2023,Food Cost,Groceries,Target,7.96,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
15-Dec-23,Dec,2023,Food Cost,Containers,Apsic Inc,9,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
15-Dec-23,Dec,2023,Payroll Other taxes,Payroll Taxes,Business to Business ACH Debit - Paychex Tps Taxes,1885.9,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
15-Dec-23,Dec,2023,Payroll Other taxes,Payroll-Fees,Payroll Fees,85.9,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
16-Dec-23,Dec,2023,Food Cost,Groceries,Restaurant Depot,562.03,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
17-Dec-23,Dec,2023,Food Cost,Groceries,Costco Gas,76.08,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
17-Dec-23,Dec,2023,Food Cost,Groceries,LA Produce,706.56,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
17-Dec-23,Dec,2023,Maintenance,Maintenance,Amazon,32.3,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
17-Dec-23,Dec,2023,Maintenance,Maintenance,Amazon,215.49,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
17-Dec-23,Dec,2023,Maintenance,Maintenance,Amazon,119.48,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
18-Dec-23,Dec,2023,Payroll Other taxes,Payroll Fees,EIB INVOICE,35.24,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
18-Dec-23,Dec,2023,Food Cost,Containers,Apsic Inc,638.5,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
18-Dec-23,Dec,2023,Food Cost,Groceries,Costco Gas,38.75,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
18-Dec-23,Dec,2023,Maintenance,Maintenance,Home Depot,25.58,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
18-Dec-23,Dec,2023,Automobile,Van Toll,THE TOLL ROADS OF OC 949-727-4800 CA,7.07,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
18-Dec-23,Dec,2023,Utilities,Utilities - Internet,GOOGLE *FIBER FWHSXR g.co/helppay#CA,100.33,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
19-Dec-23,Dec,2023,Food Cost,Goat Meat,Pak Halal,899,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
19-Dec-23,Dec,2023,Food Cost,Goat Meat,Pak Halal,899,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
19-Dec-23,Dec,2023,Food Cost,Chicken Meat,Bay Foods,344.8,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
19-Dec-23,Dec,2023,Food Cost,Groceries,LA Produce,146.07,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
20-Dec-23,Dec,2023,Food Cost,Groceries,Mach Foods,794.36,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
20-Dec-23,Dec,2023,Automobile,Van Gas,7-ELEVEN 33252 IRVINE CA,13.78,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
21-Dec-23,Dec,2023,Automobile,Van Toll,THE TOLL ROADS OF OC,21.21,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
21-Dec-23,Dec,2023,Food Cost,Groceries,Whole Foods,7.29,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
21-Dec-23,Dec,2023,Food Cost,Chicken Meat,Bay Foods,413.2,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
22-Dec-23,Dec,2023,Food Cost,Toast Fees,"TOAST, INC HTTPSCENTRAL.MA",255.5,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
22-Dec-23,Dec,2023,Food Cost,Groceries,Pioneer Cash & Carry,130.81,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
22-Dec-23,Dec,2023,Marketing,FB Marketing,FB Ads,2,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
22-Dec-23,Dec,2023,Automobile,Van Gas,7-ELEVEN 33252 IRVINE CA,22.19,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
22-Dec-23,Dec,2023,Food Cost,Groceries,Albertson,15.96,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
23-Dec-23,Dec,2023,Marketing,FB Marketing,FB Ads,2,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
23-Dec-23,Dec,2023,Food Cost,Groceries,Costco,35.58,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
23-Dec-23,Dec,2023,Food Cost,Groceries,Restaurant Depot,880.77,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
24-Dec-23,Dec,2023,Marketing,FB Marketing,FB Ads,2,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
24-Dec-23,Dec,2023,Marketing,FB Marketing,FB Ads,2,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
24-Dec-23,Dec,2023,Marketing,FB Marketing,FB Ads,2,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
24-Dec-23,Dec,2023,Marketing,FB Marketing,FB Ads,2,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
24-Dec-23,Dec,2023,Automobile,Van Toll,THE TOLL ROADS OF OC,13.78,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
24-Dec-23,Dec,2023,Food Cost,Groceries,NINAS INDIAN & BRITISH GRLAKE FOREST CA,35.67,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
24-Dec-23,Dec,2023,Food Cost,Groceries,Costco,14.38,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
24-Dec-23,Dec,2023,Automobile,Van Gas,7-ELEVEN 33252 IRVINE CA,76.59,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
25-Dec-23,Dec,2023,Food Cost,Groceries,NINAS INDIAN & BRITISH GRLAKE FOREST CA,28.88,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
25-Dec-23,Dec,2023,Food Cost,Groceries,NINAS INDIAN & BRITISH GRLAKE FOREST CA,44.01,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
25-Dec-23,Dec,2023,Automobile,Van Gas,7-ELEVEN 33252 IRVINE CA,13.24,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
25-Dec-23,Dec,2023,Automobile,Van Gas,7-ELEVEN 33252 IRVINE CA,27.56,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
26-Dec-23,Dec,2023,Food Cost,Groceries,LA Produce,1997.18,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
26-Dec-23,Dec,2023,Automobile,Van Toll,THE TOLL ROADS OF OC,14.14,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
26-Dec-23,Dec,2023,Insurance,Van Insurance,Mercury Insurance,343.4,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
26-Dec-23,Dec,2023,Utilities,Utilities - Electricity,So Cal Edison,982.74,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
26-Dec-23,Dec,2023,Food Cost,Containers,Apsic Inc,955,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
26-Dec-23,Dec,2023,Food Cost,Chicken Meat,Bay Foods,220.8,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
26-Dec-23,Dec,2023,Food Cost,Goat Meat,Pak Halal,2247.5,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
26-Dec-23,Dec,2023,Food Cost,Goat Meat,Alan,1083.5,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
27-Dec-23,Dec,2023,Food Cost,Groceries,Mach Foods,1425.04,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
27-Dec-23,Dec,2023,Food Cost,Chicken Meat,Bay Foods,521.6,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
28-Dec-23,Dec,2023,Automobile,Van Gas,7-ELEVEN 33252 IRVINE CA,14.88,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
29-Dec-23,Dec,2023,Food Cost,Groceries,COSTCO WHSE #0454 IRVINE CA,67.59,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
29-Dec-23,Dec,2023,Food Cost,Groceries,COSTCO GAS #0454 IRVINE CA,77.79,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
29-Dec-23,Dec,2023,Food Cost,Toast Fees,ACH Debit - Toast Inc,67.5,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
29-Dec-23,Dec,2023,Payroll Other taxes,Payroll Taxes,Business to Business ACH Debit - Paychex Tps Taxes 122823,1371.62,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
29-Dec-23,Dec,2023,Marketing,FB Marketing,FACEBK WGV2VYKHM2 650-5434800 CA,8.28,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
30-Dec-23,Dec,2023,Automobile,Van Gas,7-ELEVEN 33252 IRVINE CA,13.88,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
30-Dec-23,Dec,2023,Utilities,Security,ADT SECURITY*404866280 WWW.ADT.COM FL,56.55,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
30-Dec-23,Dec,2023,Food Cost,Groceries,L.A.PRODUCE 310-748-2043 CA,1527.79,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
30-Dec-23,Dec,2023,Food Cost,Groceries,Hmart,11.04,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
30-Dec-23,Dec,2023,Food Cost,Groceries,Hmart,5.72,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
31-Dec-23,Dec,2023,Maintenance,Office Supplies,OFFICE DEPOT #861 IRVINE CA,119.05,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
31-Dec-23,Dec,2023,Marketing,FB Marketing,FACEBK WGV2VYKHM2 650-5434800 CA,8,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
31-Dec-23,Dec,2023,Automobile,Van Toll,THE TOLL ROADS OF OC 949-727-4800 CA,14.14,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
31-Dec-23,Dec,2023,Food Cost,Groceries,COSTCO WHSE #0454 IRVINE CA,38.36,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
1-Jan-24,Jan,2024,Insurance,Apartment Insurance,LEMONADE I* LEMONADE I LEMONADE.COM NY,9.59,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
1-Jan-24,Jan,2024,Marketing,FB Marketing,FACEBK WGV2VYKHM2 650-5434800 CA,8,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
1-Jan-24,Jan,2024,Sales Tax & CPA,Sales Tax,BUSINESS TO BUSINESS ACH CA DEPT TAX FEE CDTFA EPMT 240430 17869116 PRNG RESTO LLC,4055.33,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
2-Jan-24,Jan,2024,Marketing,FB Marketing,FACEBK WGV2VYKHM2 650-5434800 CA,10,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
2-Jan-24,Jan,2024,Food Cost,Groceries,NAMASTE PLAZA IRVINE CA,47.44,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
2-Jan-24,Jan,2024,Food Cost,Biryani Masala,Sree Vigna,1000,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
2-Jan-24,Jan,2024,Payroll Other taxes,Payroll Fees,EIB INVOICE,247.15,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
2-Jan-24,Jan,2024,Payroll Other taxes,Payroll Fees,EIB INVOICE,218.09,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
2-Jan-24,Jan,2024,Payroll Other taxes,Payroll Fees,EIB INVOICE,43.6,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
3-Jan-24,Jan,2024,Automobile,Van Gas,7-ELEVEN 33252 IRVINE CA,40,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
3-Jan-24,Jan,2024,Automobile,Van Toll,THE TOLL ROADS OF OC 949-727-4800 CA,20.57,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
3-Jan-24,Jan,2024,Food Cost,Groceries,L.A.PRODUCE 310-748-2043 CA,313.7,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
3-Jan-24,Jan,2024,Food Cost,Chicken Meat,Bay Foods,335.6,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
3-Jan-24,Jan,2024,Food Cost,Groceries,Mach Foods,1005.74,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
3-Jan-24,Jan,2024,Rent,Apartment Rent,Rent for Chef Apartment,3776.25,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
3-Jan-24,Jan,2024,Utilities,Utilities - Electricity,So Cal Edison,78.66,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
3-Jan-24,Jan,2024,Food Cost,Biryani Masala,Sree Vigna,1000,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
4-Jan-24,Jan,2024,Food Cost,Groceries,PIONEER CASH&CARRY ARTESIA CA,98.2,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
4-Jan-24,Jan,2024,Automobile,Van Gas,7-ELEVEN 33252 IRVINE CA,11.98,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
